Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
05/20/18,08:00,71.303,2.50,0.80,68.8
05/20/18,08:30,45.506,2.77,0.80,69.8
05/20/18,09:00,93.251,0.72,0.83,70.4
05/20/18,09:30,81.443,0.77,0.78,69.8
05/20/18,10:00,109.061,2.79,0.80,69.8
05/20/18,10:30,52.716,2.81,0.80,70.4
05/20/18,11:00,85.308,2.69,0.80,69.8
05/20/18,11:30,39.165,2.76,1.06,69.8
05/20/18,12:00,41.938,2.76,1.09,69.3
05/20/18,12:30,44.83,2.71,1.06,69.8
05/20/18,13:00,77.923,2.72,1.13,70.4
05/20/18,13:30,44.972,2.76,1.08,69.8
05/20/18,14:00,82.681,2.71,1.07,68.8
05/20/18,14:30,39.147,2.73,1.07,70.4
05/20/18,15:00,39.429,1.77,1.05,70.9
05/20/18,15:30,79.552,2.70,1.13,69.8
05/20/18,16:00,84.74,2.66,1.09,69.8
05/20/18,16:30,39.928,2.79,1.08,69.8
05/20/18,17:00,75.868,2.40,1.08,70.4
05/20/18,17:30,45.156,2.76,1.05,69.8
05/20/18,18:00,79.794,2.75,1.14,70.4
05/20/18,18:30,39.262,2.76,1.09,70.4
05/20/18,19:00,78.754,2.78,1.08,70.9
05/20/18,19:30,45.376,2.77,1.09,69.8
05/20/18,20:00,77.727,0.66,1.08,70.9
05/20/18,20:30,79.376,0.64,1.03,69.3
05/20/18,21:00,107.487,0.60,1.07,69.8
05/20/18,21:30,40.691,2.11,1.08,70.4
05/20/18,22:00,39.024,1.63,1.05,70.4
05/20/18,22:30,42.623,2.17,0.99,69.8
05/20/18,23:00,74.648,2.28,0.97,69.3
05/20/18,23:30,85.583,2.27,1.05,70.4
05/21/18,00:00,40.309,2.55,1.10,70.4
05/21/18,00:30,46.685,2.84,0.74,69.8
05/21/18,01:00,104.327,2.82,0.83,69.8
05/21/18,01:30,52.476,2.56,0.76,69.3
05/21/18,02:00,113.11,2.78,0.81,69.8
05/21/18,02:30,49.402,2.90,0.74,70.4
05/21/18,03:00,92.972,2.83,0.79,69.3
05/21/18,03:30,45.902,2.85,0.76,70.4
05/21/18,04:00,59.029,2.40,0.77,69.3
05/21/18,04:30,67.766,2.53,0.68,70.9
05/21/18,05:00,95.269,2.77,0.82,69.8
05/21/18,05:30,45.851,2.90,0.77,69.8
05/21/18,06:00,105.092,2.78,0.76,70.4
05/21/18,06:30,46.749,2.88,0.77,69.8
05/21/18,07:00,112.966,2.75,0.73,68.8
05/21/18,07:30,55.116,2.88,0.76,69.3
05/21/18,08:00,142.966,2.77,0.72,69.8
05/21/18,08:30,102.134,0.81,0.77,69.3
05/21/18,09:00,86.763,0.82,0.64,68.8
05/21/18,09:31,567.398,0.14,0.64,69.8
05/21/18,10:00,101.839,0.77,0.79,68.8
05/21/18,10:30,86.97,0.76,0.79,68.8
05/21/18,11:00,87.405,0.76,0.78,69.3
05/21/18,11:30,46.687,2.88,0.75,69.3
05/21/18,12:00,55.534,2.59,0.76,69.3
05/21/18,12:30,84.955,0.74,0.77,70.4
05/21/18,13:00,93.446,0.74,0.74,69.8
